Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
7/2/1993,25.45609028155987,25.47385447575496,25.313976727999176,25.40279769897461,285400,2,4,26,7,1993
7/6/1993,25.367264128236805,25.438320890500773,25.10080126974692,25.136329650878906,246400,6,1,27,7,1993
7/7/1993,25.118563164784256,25.24291249,25.118563164784256,25.20738410949707,343700,7,2,27,7,1993
7/8/1993,25.225154305168978,25.54490978227675,25.18962591882367,25.49161720275879,248200,8,3,27,7,1993
7/9/1993,25.49160348283822,25.562660217285156,25.43831093200302,25.562660217285156,378200,9,4,27,7,1993
7/12/1993,25.52715004932897,25.562678441881967,25.491621656775973,25.54491424560547,373700,12,0,28,7,1993
7/13/1993,25.56266804179468,25.63372479799147,25.38502615130271,25.52713966369629,389600,13,1,28,7,1993
7/14/1993,25.544902415282184,25.68701591967875,25.527138227232616,25.61595916748047,617300,14,2,28,7,1993
7/15/1993,25.59818216286662,25.59818216286662,25.45606872962378,25.509361267089844,443800,15,3,28,7,1993
7/16/1993,25.52715068023298,25.54491487694852,25.40280130322419,25.438329696655273,216400,16,4,28,7,1993
7/19/1993,25.438317395522827,25.438317395522827,25.349496454896002,25.42055320739746,188200,19,0,29,7,1993
7/20/1993,25.40279623689552,25.49161720275879,25.27844688468694,25.49161720275879,68500,20,1,29,7,1993
7/21/1993,25.45608415297717,25.473848342895508,25.385027393303822,25.473848342895508,142700,21,2,29,7,1993
7/22/1993,25.438322870918874,25.473851254816807,25.29620933532715,25.29620933532715,632400,22,3,29,7,1993
7/23/1993,25.349496454896002,25.42055320739746,25.331732266770636,25.42055320739746,286200,23,4,29,7,1993
7/26/1993,25.49160348283822,25.61595276812036,25.49160348283822,25.562660217285156,121300,26,0,30,7,1993
7/27/1993,25.580442638158466,25.598206834434965,25.456093264222975,25.54491424560547,92800,27,1,30,7,1993
7/28/1993,25.49161720275879,25.54490978227675,25.45608881641348,25.49161720275879,30800,28,2,30,7,1993
7/29/1993,25.544893765730407,25.704771404041654,25.509365401661242,25.63371467590332,331000,29,3,30,7,1993
7/30/1993,25.633730748140025,25.633730748140025,25.45608881641348,25.49161720275879,75300,30,4,30,7,1993
8/2/1993,25.52713185006169,25.651481135343825,25.52713185006169,25.562660217285156,41300,2,0,31,8,1993
8/3/1993,25.615961270862154,25.68701802889506,25.491611944304573,25.580432891845703,81600,3,1,31,8,1993
8/4/1993,25.580432891845703,25.633725460370382,25.509376133812797,25.580432891845703,434000,4,2,31,8,1993
8/5/1993,25.58043223084388,25.58043223084388,25.491611285597894,25.52713966369629,36800,5,3,31,8,1993
8/6/1993,25.598188584508623,25.61595276812036,25.52713185006169,25.562660217285156,402300,6,4,31,8,1993
8/9/1993,25.63372192303724,25.775835419492054,25.580429361866685,25.70477867126465,828200,9,0,32,8,1993
8/10/1993,25.687013626098633,25.704777812562046,25.651485253171803,25.687013626098633,604900,10,1,32,8,1993
8/11/1993,25.669249439635216,25.758070371952293,25.669249439635216,25.687013626098633,542200,11,2,32,8,1993
8/12/1993,25.75807267187703,25.75807267187703,25.527138227232616,25.61595916748047,303700,12,3,32,8,1993
8/13/1993,25.633736504742313,25.66926489906628,25.633736504742313,25.651500701904297,103500,13,4,32,8,1993
8/16/1993,25.669264057779444,25.864670220157002,25.669264057779444,25.79361343383789,241800,16,0,33,8,1993
8/17/1993,25.77583827,25.882423400878906,25.77583827,25.882423400878906,369300,17,1,33,8,1993
8/18/1993,25.971247374238413,26.077832520781115,25.953483183147963,26.024539947509766,414300,18,2,33,8,1993
8/19/1993,26.042304138600215,26.042304138600215,25.989011565328862,26.024539947509766,28500,19,3,33,8,1993
8/20/1993,25.971229204539547,26.042285919189453,25.953465025877072,26.042285919189453,80700,20,4,33,8,1993
8/23/1993,25.935698253034488,26.006754960577048,25.935698253034488,25.988990783691406,15600,23,0,34,8,1993
8/24/1993,25.98900829931624,26.273235321044922,25.98900829931624,26.273235321044922,273400,24,1,34,8,1993
8/25/1993,26.273238082834194,26.39758741791184,26.237709701383437,26.29100227355957,242300,25,2,34,8,1993
8/26/1993,26.308780670166016,26.45089427270574,26.202195468261227,26.308780670166016,120000,26,3,34,8,1993
8/27/1993,26.237709701383437,26.29100227355957,26.237709701383437,26.29100227355957,25700,27,4,34,8,1993
8/30/1993,26.308779177402585,26.43312857256924,26.308779177402585,26.397600173950195,183500,30,0,35,8,1993
8/31/1993,26.379812733438992,26.46863365,26.34428436612123,26.46863365,66500,31,1,35,8,1993
9/1/1993,26.379820531414403,26.486405664874663,26.379820531414403,26.43311309814453,136500,1,2,35,9,1993
9/2/1993,26.450865328191345,26.486393689948486,26.326516062041353,26.344280242919922,472400,2,3,35,9,1993
9/3/1993,26.32652645,26.3975832,26.290998073279695,26.36205482,630500,3,4,35,9,1993
9/7/1993,26.36207308,26.397601478297155,26.148902675675245,26.184431076049805,196400,7,1,36,9,1993
9/8/1993,26.184419181413435,26.184419181413435,25.917956299648715,26.095598220825195,269900,8,2,36,9,1993
9/9/1993,25.98900613318319,26.166648006957512,25.98900613318319,26.148883819580078,239200,9,3,36,9,1993
9/10/1993,26.219945965391215,26.397587875725844,26.18441758332429,26.379823684692383,106500,10,4,36,9,1993
9/13/1993,26.468656971188285,26.468656971188285,26.397600173950195,26.397600173950195,66900,13,0,37,9,1993
9/14/1993,26.326530655010327,26.326530655010327,26.20218131993268,26.29100227355957,184500,14,1,37,9,1993
9/15/1993,26.18441294595559,26.37981901271645,26.09559200651883,26.36205482,101000,15,2,37,9,1993
9/16/1993,26.32651555392997,26.344279734465687,26.237694651251395,26.25545883178711,54300,16,3,37,9,1993
9/17/1993,26.240314795896108,26.258189669735273,26.168815300539443,26.204565048217773,200900,17,4,37,9,1993
9/20/1993,26.24032246459793,26.29394710178716,25.990074157714844,25.990074157714844,57800,20,0,38,9,1993
9/21/1993,26.02582760133605,26.06157736,25.63258020626092,25.90070343017578,318200,21,1,38,9,1993
9/22/1993,25.990079677406847,26.150953623140452,25.95432991168827,26.115203857421875,439700,22,2,38,9,1993
